id,ten,khoa_id,khoa
1,K22406,1,Hệ thống thông tin
2,K22406C,1,Hệ thống thông tin
3,K22411,1,Hệ thống thông tin
4,K22411C,1,Hệ thống thông tin
5,K22411CA,1,Hệ thống thông tin
6,K22416C,1,Hệ thống thông tin
7,K23406,1,Hệ thống thông tin
8,K23411,1,Hệ thống thông tin
9,K234111E,1,Hệ thống thông tin
10,K234112E,1,Hệ thống thông tin
11,K23416,1,Hệ thống thông tin
12,K24406,1,Hệ thống thông tin
13,K24406H,1,Hệ thống thông tin
14,K24411,1,Hệ thống thông tin
15,K24411E,1,Hệ thống thông tin
16,K24416,1,Hệ thống thông tin
17,K25406,1,Hệ thống thông tin
18,K25406H,1,Hệ thống thông tin
19,K25411,1,Hệ thống thông tin
20,K25411E,1,Hệ thống thông tin
21,K25416,1,Hệ thống thông tin
22,K22401,2,Kinh tế
23,K22401C,2,Kinh tế
24,K22403,2,Kinh tế
25,K22403C,2,Kinh tế
26,K23401A,2,Kinh tế
27,K23401B,2,Kinh tế
28,K23403A,2,Kinh tế
29,K23403B,2,Kinh tế
30,K24401A,2,Kinh tế
31,K24401B,2,Kinh tế
32,K24403A,2,Kinh tế
33,K24403B,2,Kinh tế
34,K25401A,2,Kinh tế
35,K25401B,2,Kinh tế
36,K25403A,2,Kinh tế
37,K25403B,2,Kinh tế
38,K22405,3,Kế toán - Kiểm toán
39,K22405C,3,Kế toán - Kiểm toán
40,K22405CA,3,Kế toán - Kiểm toán
41,K22409,3,Kế toán - Kiểm toán
42,K22409C,3,Kế toán - Kiểm toán
43,K23405A,3,Kế toán - Kiểm toán
44,K23405B,3,Kế toán - Kiểm toán
45,K23405E,3,Kế toán - Kiểm toán
46,K23409A,3,Kế toán - Kiểm toán
47,K23409B,3,Kế toán - Kiểm toán
48,K24405A,3,Kế toán - Kiểm toán
49,K24405B,3,Kế toán - Kiểm toán
50,K24405E,3,Kế toán - Kiểm toán
51,K24409A,3,Kế toán - Kiểm toán
52,K24409B,3,Kế toán - Kiểm toán
53,K25405A,3,Kế toán - Kiểm toán
54,K25405B,3,Kế toán - Kiểm toán
55,K25405E,3,Kế toán - Kiểm toán
56,K25409A,3,Kế toán - Kiểm toán
57,K25409B,3,Kế toán - Kiểm toán
58,K22402,4,Kinh tế đối ngoại
59,K224021C,4,Kinh tế đối ngoại
60,K224022C,4,Kinh tế đối ngoại
61,K22402CA,4,Kinh tế đối ngoại
62,K22408,4,Kinh tế đối ngoại
63,K22408C,4,Kinh tế đối ngoại
64,K22408CA,4,Kinh tế đối ngoại
65,K23402A,4,Kinh tế đối ngoại
66,K23402B,4,Kinh tế đối ngoại
67,K234081E,4,Kinh tế đối ngoại
68,K234082E,4,Kinh tế đối ngoại
69,K23408A,4,Kinh tế đối ngoại
70,K23408B,4,Kinh tế đối ngoại
71,K24402A,4,Kinh tế đối ngoại
72,K24402B,4,Kinh tế đối ngoại
73,K24408A,4,Kinh tế đối ngoại
74,K24408B,4,Kinh tế đối ngoại
75,K24408E1,4,Kinh tế đối ngoại
76,K24408E2,4,Kinh tế đối ngoại
77,K25402A,4,Kinh tế đối ngoại
78,K25402B,4,Kinh tế đối ngoại
79,K25408A,4,Kinh tế đối ngoại
80,K25408B,4,Kinh tế đối ngoại
81,K25408E1,4,Kinh tế đối ngoại
82,K25408E2,4,Kinh tế đối ngoại
83,K25420,4,Kinh tế đối ngoại
84,K22501,5,Luật kinh tế
